Date,Open,High,Low,Close,symbol,shortName,longName,financialCurrency,sector,currency,industry,country,market
2020-10-19 00:00:00,174.7630272704101,175.07735912868614,167.6412695185703,168.6235809326172,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-10-20 00:00:00,169.58624538864683,170.52927096052014,167.84754995334953,168.06365966796875,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-10-21 00:00:00,167.88684418266928,173.0243285836484,166.25620366899756,171.47227478027344,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-10-22 00:00:00,171.88483753859379,176.76692619584435,171.65891012272976,176.15789794921875,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-10-23 00:00:00,177.22862413042344,181.43291579782706,176.8160551337772,181.2266387939453,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-10-26 00:00:00,179.52723516264751,180.85336161538055,176.74729196115288,178.66281127929688,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-10-27 00:00:00,176.9339385655387,179.26202696011092,174.15399528500276,175.1363067626953,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-10-28 00:00:00,171.20704551619855,173.27972314802682,165.07743203733756,165.35247802734375,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-10-29 00:00:00,164.58627530721947,164.61574344961463,157.53327177929856,160.50967407226562,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-10-30 00:00:00,160.5686328069608,164.54698210398615,160.3328726679626,164.01654052734375,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-11-02 00:00:00,166.8848762226369,172.15006570774725,164.64520752266804,171.747314453125,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-11-03 00:00:00,174.3210034451001,181.95355292316142,174.13436186395577,180.62744140625,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-11-04 00:00:00,191.8552391451841,208.81976139774994,191.5212568630179,206.89442443847656,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-11-05 00:00:00,204.81192484747268,213.89830520641334,204.27165058511056,210.37181091308594,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-11-06 00:00:00,208.82957857526466,209.05552099104156,197.14007881864734,197.90628051757812,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-11-09 00:00:00,211.35411670151777,213.36785799574136,202.35614100884152,207.4641571044922,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-11-10 00:00:00,208.89834097276588,217.58196994572873,206.53096695751452,216.30496215820312,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-11-11 00:00:00,216.40322839150443,220.98080361995224,216.10853194108068,217.1988983154297,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-11-12 00:00:00,215.61736292907767,218.544646848494,213.73132674676947,216.255859375,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-11-13 00:00:00,216.10851500013476,217.70968743044193,214.36000185060794,215.8040008544922,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-11-16 00:00:00,219.1634988484992,219.69394041373522,213.66254896789354,214.43858337402344,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-11-17 00:00:00,212.01227679243627,213.16157936175767,204.46811724937712,211.01031494140625,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-11-18 00:00:00,212.15961984355172,212.2087384131499,206.95336623268906,207.19894409179688,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-11-19 00:00:00,204.949447133504,206.3639779286558,199.76284421053563,201.11843872070312,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-11-20 00:00:00,199.69407130234086,202.68030625329044,198.32865910108225,201.197021484375,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-11-23 00:00:00,202.88660742846582,205.79425601790885,201.79624108103516,203.279541015625,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-11-24 00:00:00,204.50742196935795,210.47004464152423,203.09289109146695,206.3050537109375,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-11-25 00:00:00,206.2166294109371,206.4818576914879,201.47207843783733,203.34828186035156,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-11-27 00:00:00,203.61351351826067,209.32074057057937,202.99465251633788,208.74118041992188,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
